ID,template
96,<*> (#50#) CMD (<*> <*>
97,<*> (#50#) CMD (<*>
98,postfix/nqmgr[2448]: <*> <*> <*> nrcpt=1 (queue active)
99,<*> <*> uid=30385 from=<#50#>
100,<*> (#50#) CMD (crontab <*>
101,<*> (#50#) <*> (#50#)
102,crond[2449]: <*> RELOAD <*>
103,sshd[15603]: <*> <*> <*> closed by remote <*>
104,sshd[6406]: <*> <*> <*> closed by remote <*>
105,<*> (#50#) CMD (<*> -T 4.2')
106,sshd[17821]: <*> <*> <*> closed by remote <*>
107,sshd[8134]: <*> <*> <*> closed by remote <*>
108,syslogd 1.4.1: restart.
109,nmbd[3187]: <*> <*> (Samba Server)
110,<*> <*> current master browser = <*>
111,<*> dump workgroup on subnet <*>: netmask= #55#:
112,<*> Got SIGHUP dumping debug info.
113,nmbd[3187]: <*>
114,"<*> SIGHUP received, restarting syslog-ng"
115,<*> new configuration initialized
116,sshd[10194]: <*> <*> <*> closed by remote <*>
117,sshd[20106]: <*> <*> <*> closed by remote <*>
118,sshd[31836]: <*> <*> <*> closed by remote <*>
119,sshd[21940]: <*> <*> <*> closed by remote <*>
120,"postfix/nqmgr[7447]: <*> from=<#7#@#11#>, <*> <*> (queue active)"
121,<*> <*> uid=9458 from=<#7#>
122,sshd[15539]: <*> <*> <*> closed by remote <*>
123,sshd[1584]: <*> <*> <*> closed by remote <*>
124,kernel: GM: LANai is not running. Allowing port=0 open for debugging
125,init: Switching to runlevel: <*>
126,shutdown: shutting down for system <*>
127,cmanic: <*> <*> NIC Agent Daemon <*>
128,cmanic: Shutting down NIC Agents (cmanic): All agents
129,cmanicd: cmanicd shutdown succeeded
130,snmpd: cmaX: subMIB <*> handler has disconnected
131,cmanic:
132,cmanic: [ OK ]
133,hpasm:
134,hpasm: <*> <*> NIC Agent Daemon <*>
135,hpasm: Shutting down Storage Event Logger (cmaeventd):
136,hpasm: Shutting down <*> Agents <*> <*> <*>
137,rc: <*> <*> succeeded
138,hpasm: Shutting down <*> agent <*>
139,hpasm: <*> HP Lights-Out Drivers and Agents (hprsm): <*> <*>
140,hpasm: <*> cpqci:
141,hpasm: Shutting down Standard Equipment agent (cmastdeqd):
142,hpasm: Shutting down Server Agents (cmasvr): cmastdeqd cmahealthd cmaperfd
143,hpasm: <*>
144,hprsm: <*> <*> succeeded
145,hpasm: Shutting down Proliant System Health Monitor (hpasmd):
146,hpasm: Shutting down <*> Agents <*> <*>
147,<*> ProLiant System Health Monitor <*>
148,snmpd: Received TERM or STOP signal... shutting down...
149,sshd: sshd <*> <*>
150,<*> Received signal 15; terminating.
151,snmpd: snmpd <*> <*>
152,xinetd: xinetd <*> <*>
153,<*> Exiting...
154,acpid: acpid <*> <*>
155,crond: crond <*> succeeded
156,autofs: automount <*> <*>
157,ntpd: ntpd <*> <*>
158,<*> ntpd exiting on signal 15
159,netfs: <*> <*> filesystems: succeeded
160,dd: 1+0 records <*>
161,random: Saving random seed: succeeded
162,"<*> Caught signal 15, un-registering and exiting."
163,nfslock: rpc.statd <*> <*>
164,kernel: Kernel log daemon terminating.
165,kernel: Kernel logging (proc) stopped.
166,portmap: portmap <*> succeeded
167,exiting on signal 15
168,dhcpd: DHCPDISCOVER from <*> via eth0
169,dhcpd: <*> on <*> to <*> via eth0
170,dhcpd: DHCPREQUEST for <*> (<*>) from <*> via eth0
171,<*> tftp: client does not accept options
172,kernel: BIOS-e820: <*> - <*> <*>
173,kernel: BIOS-e820: <*> - <*> (ACPI data)
174,kernel: BIOS-provided physical RAM map:
175,kernel: Bootdata ok (command line is ro <*> <*>
176,kernel: <*> <*> node <*> 0000000000000000-000000007fff3000
177,kernel: Linux version <*> <*> (gcc version 3.2.3 20030502 (Red Hat Linux <*> #1 SMP <*> <*> <*> <*> <*> 2004
178,kernel: No NUMA configuration found
179,kernel: kernel direct mapping tables upto <*> @ <*>
180,"kernel: klogd 1.4.1, log source = /proc/kmsg started."
181,<*> Version 1.0.6 Starting
182,syslog: <*> <*> succeeded
183,kernel: ACPI: BIOS passes blacklist
184,kernel: ACPI: <*> (v001 HP <*> <*> @ <*>
185,kernel: ACPI: <*> <*> HP P52 00000.00002) @ <*>
186,kernel: ACPI: INT_SRC_OVR (bus[0] <*> <*> polarity[0x1] <*>
187,kernel: ACPI: IOAPIC <*> <*> <*>
188,kernel: ACPI: LAPIC <*> <*> <*>
189,kernel: ACPI: LAPIC_NMI (acpi_id[0xff] polarity[0x0] trigger[0x0] lint[0x1])
190,kernel: ACPI: Local APIC address 0xfee00000
191,kernel: ACPI: RSDP (v002 HP ) @ 0x00000000000f4f20
192,kernel: Calibrating delay loop... <*> BogoMIPS
193,kernel: Console: colour VGA+ 80x25
194,kernel: <*> Assigned apic_id <*>
195,"kernel: <*> apic_id <*> version 32, address <*> IRQ <*>"
196,kernel: Initializing <*>
197,kernel: Kernel command line: ro <*> <*>
198,kernel: On node 0 totalpages: <*>
199,kernel: <*> hash table entries: <*> (order: <*> <*> KB)
200,kernel: Processor <*> 15:3 APIC version 16
201,kernel: Using ACPI (MADT) for SMP configuration information
202,kernel: found SMP MP-table at 000f4fa0
203,"kernel: hm, page <*> reserved twice."
204,kernel: <*> <*> node 0 <*>
205,kernel: time.c: Detected <*> MHz <*> timer.
206,kernel: <*> <*> pages.
207,audit: auditd <*> <*>
208,kernel: <*> 000 00 1 0 0 0 0 0 0 00
209,kernel: <*> <*> <*> <*> <*> 0 0 0 1 1 <*>
210,"kernel: IO-APIC (apicid-pin) 8-0, 8-16, 8-17, 8-18, 8-19, 8-20, 8-21, 8-22, 8-23, 9-0, 9-1, 9-2, 9-3, 9-4, 9-5, 9-6, 9-7, 9-8, 9-9, 9-10, 9-11, 9-12, 9-13, 9-14, 9-15, 9-16, 9-17, 9-18, 9-19, 9-20, 9-21, 9-22, 9-23, 10-0, 10-1, 10-2, 10-3, 10-4, 10-5, 10-6, 10-7, 10-8, 10-9, 10-10, 10-11, 10-12, 10-13, 10-14, 10-15, 10-16, 10-17, 10-18, 10-19, 10-20, 10-21, 10-22, 10-23, 11-0, 11-1, 11-2, 11-3, 11-4, 11-5, 11-6, 11-7, 11-8, 11-9, 11-10, 11-11, 11-12, 11-13, 11-14, 11-15, 11-16, 11-17, 11-18, 11-19, 11-20, 11-21, 11-22, 11-23 not connected."
211,kernel: NR Log Phy Mask Trig IRR Pol Stat Dest Deli Vect:
212,kernel: .... IRQ redirection table:
213,kernel: .... register <*> <*>
214,kernel: ....... : <*> APIC <*> <*>
215,kernel: ....... : PRQ implemented: 1
216,kernel: ....... : arbitration: <*>
217,kernel: ....... : max redirection entries: 0017
218,kernel: .................................... done.
219,kernel: ..TIMER: vector=0x31 pin1=2 pin2=0
220,kernel: Booting processor <*> rip 6000 page <*>
221,kernel: <*> cache hash table entries: <*> (order: <*> <*> <*>
222,kernel: <*> Intel(R) Xeon(TM) CPU 3.40GHz stepping 04
223,kernel: CPU: Physical Processor ID: <*>
224,kernel: CPU: Trace cache: 12K uops<6>CPU: L2 cache: 1024K
225,kernel: <*> <*> IRQs
226,kernel: IO APIC <*>
227,kernel: IRQ to pin mappings:
228,kernel: <*> -> <*>
229,kernel: Intel machine check architecture supported.
230,kernel: Intel machine check reporting enabled on <*>
231,"kernel: Memory: <*> available <*> kernel code, 0k reserved, <*> data, 228k init)"
232,kernel: Monitor/Mwait feature present.
233,kernel: POSIX conformance testing by UNIFIX
234,kernel: Total of <*> processors activated <*> BogoMIPS).
235,kernel: Using local APIC timer interrupts.
236,kernel: WARNING: No sibling found for CPU <*>
237,kernel: mtrr: v2.02 (20020716))
238,kernel: number of IO-APIC <*> registers: 24.
239,kernel: number of MP IRQ sources: 16.
240,kernel: per-CPU timeslice cutoff: <*> usecs.
241,kernel: task migration cache decay timeout: 10 msecs.
242,kernel: testing the IO APIC.......................
243,random: Initializing random number generator: succeeded
244,kernel: <*> BM-DMA at <*> BIOS settings: <*> <*>
245,kernel: <*> -> <*> -> vector <*> -> IRQ <*>
246,kernel: ACPI: Interpreter enabled
247,kernel: ACPI: PCI Interrupt Link <*> (IRQs <*> <*> 10 11)
248,"kernel: ACPI: PCI Interrupt Link <*> (IRQs 5 7 10 11, disabled)"
249,kernel: ACPI: PCI Interrupt Link <*> enabled at IRQ <*>
250,kernel: ACPI: PCI Interrupt Routing Table <*>
251,kernel: ACPI: PCI Root Bridge [PCI0] (00:00)
252,kernel: ACPI: Subsystem revision 20030619
253,kernel: ACPI: System [ACPI] (supports S0 S4 S5)
254,kernel: <*> Using <*> for <*> routing
255,kernel: Based upon Swansea University Computer Society NET3.039
256,kernel: Detected <*> MHz APIC timer.
257,kernel: Disabling IRQ affinity setting
258,kernel: Hugetlbfs mounted.
259,"kernel: IA32 emulation $Id: sys_ia32.c,v 1.56 2003/04/10 10:45:37 ak Exp $"
260,kernel: ICH5: IDE controller at PCI slot 00:1f.1
261,kernel: ICH5: Not fully BIOS configured!
262,kernel: ICH5: chipset revision 2
263,kernel: ICH5: not 100%% native mode: #43# probe irqs later
264,kernel: <*> Set PCI routing entry <*> -> <*> -> IRQ <*> Mode:1 Active:1
265,kernel: Initializing <*> netlink socket
266,kernel: Linux NET4.0 for Linux 2.4
267,kernel: Linux agpgart interface v0.99 (c) Jeff Hartmann
268,kernel: NET4: Frame Diverter 0.46
269,kernel: PCI-DMA: <*> <*>
270,kernel: PCI: Device 00:1f.1 not available because of resource collisions
271,kernel: PCI: Ignoring BAR0-3 of IDE controller 00:1f.1
272,kernel: PCI: Using configuration type 1
273,kernel: Pin <*> already programmed
274,kernel: RAMDISK driver initialized: 256 RAM disks of 8192K size 1024 blocksize
275,kernel: Real Time Clock Driver v1.10e
276,kernel: Serial driver version 5.05c (2001-07-08) with MANY_PORTS MULTIPORT SHARE_IRQ SERIAL_PCI SERIAL_ACPI enabled
277,kernel: Starting kswapd
278,kernel: Starting migration thread for cpu <*>
279,"kernel: Total HugeTLB memory allocated, 0"
280,kernel: Uniform Multi-Platform E-IDE driver Revision: 7.00beta4-2.4
281,kernel: VFS: Disk quotas vdquot_6.5.1
282,kernel: agpgart: Maximum main memory to use for agp memory: <*>
283,kernel: agpgart: no supported devices found.
284,kernel: aio_setup: num_physpages = <*>
285,kernel: aio_setup: sizeof(struct page) = <*>
286,kernel: checking TSC synchronization across CPUs: passed.
287,kernel: cpu: <*> clocks: <*> slice: <*>
288,kernel: ide-floppy driver 0.99.newide
289,kernel: ide: Assuming 33MHz system bus speed for PIO modes; override with idebus=xx
290,kernel: mtrr: probably your BIOS does not setup all CPUs
291,kernel: mtrr: your CPUs had inconsistent fixed MTRR settings
292,kernel: pty: 2048 Unix98 ptys configured
293,kernel: <*> <*> failed
294,kernel: time.c: Using PIT/TSC based timekeeping.
295,kernel: <*> at <*> (irq = <*> is a 16550A
296,kernel: blocks= <*> block_size= 512
297,"kernel: heads= 255, sectors= 32, cylinders= <*> RAID <*>"
298,kernel: cciss/c0d0: p1 p2 p3 p4 < p5 p6 >
299,kernel: Adding Swap: 4096296k swap-space (priority -1)
300,"kernel: EXT3 FS 2.4-0.9.19, 19 August 2002 on <*> internal journal"
301,kernel: EXT3-fs: mounted filesystem with ordered data mode.
302,kernel: Freeing unused kernel memory: 228k freed
303,kernel: HP CISS Driver (v 2.4.52.RH1)
304,"kernel: IP: routing cache hash table of <*> buckets, <*>"
305,kernel: Initializing Cryptographic API
306,kernel: Journalled Block Device driver loaded
307,kernel: Linux IP multicast router 0.06 plus PIM-SM
308,kernel: NET4: Linux TCP<*> for NET4.0
309,kernel: NET4: Unix domain sockets 1.0<*>
310,kernel: PCI: 00:1d.7 PCI cache line size corrected to 64.
311,kernel: PCI: 00:1d.7 PCI cache line size set incorrectly (0 bytes) by BIOS/FW.
312,kernel: PCI: Setting latency timer of device <*> to 64
313,kernel: Partition check:
314,kernel: RAMDISK: Compressed image found at block 0
315,kernel: <*> <*> driver Revision: <*>
316,kernel: TCP: Hash tables configured (established 262144 bind 65536)
317,kernel: VFS: Mounted root (ext2 filesystem).
318,kernel: blk: queue <*> I/O limit 17592186044415Mb (mask 0xffffffffffffffff)
319,kernel: cciss: Device 0x46 has been found at bus 2 dev 1 func 0
320,kernel: ehci-hcd 00:1d.7: PCI device 8086:25ad (Intel Corp.)
321,"kernel: ehci-hcd 00:1d.7: USB 2.0 enabled, EHCI 1.00, driver 2003-Jan-22"
322,kernel: ehci-hcd 00:1d.7: enabled 64bit PCI DMA
323,"kernel: ehci-hcd 00:1d.7: irq 23, pci mem <*>"
324,kernel: hid-core.c: USB HID support drivers
325,"kernel: hid-core.c: v1.8.1 Andreas Gal, Vojtech Pavlik <#64#@suse.cz>"
326,kernel: hub.c: <*> ports detected
327,kernel: hub.c: USB hub found
328,kernel: kjournald starting. Commit interval 5 seconds
329,kernel: md: ... autorun DONE.
330,kernel: md: Autodetecting RAID arrays.
331,kernel: md: autorun ...
332,"kernel: md: md driver 0.90.0 MAX_MD_DEVS=256, MD_SB_DISKS=27"
333,kernel: mice: PS/2 mouse device common for all mice
334,kernel: usb-uhci.c: $Revision: 1.275 $ time <*> <*> <*> 2004
335,kernel: usb-uhci.c: Detected 2 ports
336,kernel: usb-uhci.c: High bandwidth mode enabled
337,kernel: usb-uhci.c: USB UHCI at I/O <*> IRQ <*>
338,kernel: usb-uhci.c: v1.275:USB Universal Host Controller Interface driver
339,"kernel: usb.c: new USB bus registered, assigned bus number <*>"
340,kernel: usb.c: registered new driver <*>
341,kernel: 802.1Q VLAN Support v1.8 Ben Greear <#65#@#66#>
342,kernel: Audit daemon registered (process <*>
343,kernel: Broadcom Gigabit Ethernet Driver bcm5700 with Broadcom NIC Extension (NICE) ver. 7.2.24e (04/23/04)
344,kernel: audit subsystem ver 0.1 initialized
345,kernel: bcm5700: <*> NIC Link is <*> <*> Mbps full duplex
346,kernel: divert: <*> divert_blk for <*>
347,kernel: <*> Broadcom BCM5704 Integrated Copper transceiver found
348,kernel: <*> HP NC7782 Gigabit Server Adapter found at mem <*> IRQ <*> node addr <*>
349,"kernel: <*> Scatter-gather ON, 64-bit DMA ON, Tx Checksum ON, Rx Checksum ON, 802.1Q VLAN ON, NAPI ON"
350,kernel: ip_tables: (C) 2000-2002 Netfilter core team
351,kernel: ACPI: Power Button (FF) [PWRF]
352,sshd: succeeded
353,<*> Server listening on <*> port 22.
354,snmpd: NET-SNMP version 5.1
355,snmpd: cmaX: listening for subagents on port 25375
356,snmpd: cmaX: sent ColdStarts on ports 25376 to 25393
357,<*> Reading included configuration file: <*> [file=<*> <*>
358,xinetd[2134]: removing <*>
359,ntpd: <*>
360,<*> frequency initialized <*> from /var/lib/ntp/drift
361,<*> kernel time discipline status 0040
362,<*> ntpd #67#@1.892 Tue Feb 24 06:31:19 EST 2004 (1)
363,<*> precision = <*> usec
364,<*> running as uid(38)/gid(38) euid(38)/egid(38).
365,<*> signal_no_reset: signal 13 had flags 4000000
366,<*> step time server <*> offset <*> sec
367,<*> Started working: <*> available <*>
368,<*> xinetd Version 2.3.12 started with libwrap loadavg options compiled in.
369,<*> (CRON) STARTUP (fork ok)
370,hpasm: Starting Proliant System Health Monitor (hpasmd) :
371,hpasm: Starting <*> agent <*> :
372,hpasm: Starting <*> Agents <*> <*>
373,hpasm: Starting Standard Equipment agent (cmastdeqd) :
374,hpasm: Starting Server Agents (cmasvr): cmastdeqd cmahealthd cmaperfd
375,hpasm: WARNING: cmapeerd is not running;
376,hpasm: unable to access <*> MIB data.
377,hpasm: without cmapeerd you #43# be
378,hpasm: Starting NIC Agent Daemon (cmanicd):
379,hpasm: Starting Storage Event Logger (cmaeventd) :
380,hpasm: Starting NIC Agents (cmanic): All agents
381,hpasm: Starting Storage Agents (cmastor): cmaeventd cmaidad
382,modprobe: modprobe: Can't locate module <*>
383,snmpd: cmaX: subMIB 18 #43# be sent on port 25393 to cpqnicd
384,hpasm: [ OK ]
385,hpasm: hpasm: Server Management is enabled
386,pbs_mom: pbs_mom <*> <*>
387,<*> kernel time discipline status change <*>
388,"pbs_mom: im_eof, Premature end of message from addr <*>"
389,"pbs_mom: node_bailout, <*> POLL failed from node <*> <*>"
390,kernel: nfs: server <*> OK
391,<*> authentication failure; <*> uid=0 euid=0 <*> ruser= <*>
392,<*> check pass; user unknown
393,<*> Failed password for <*> from <*> port <*> ssh2
394,sshd[1649]: <*> <*> <*> closed by remote <*>
395,<*> <*> password failed for user <*>
396,<*> Password authentication for user <*> failed (from <*> port <*>
397,"<*> auths-pam: PAM subprocess returned packet SSH_PAM_OP_ERROR. (err_num: 7, err_msg: Authentication failure)"
398,<*> PAM transaction resulted in error.
399,sshd[3110]: <*> <*> <*> closed by remote <*>
400,sshd[1774]: <*> <*> <*> closed by remote <*>
401,sshd[3314]: <*> <*> <*> closed by remote <*>
402,sshd[3550]: <*> <*> <*> closed by remote <*>
403,sshd[2049]: <*> <*> <*> closed by remote <*>
404,<*> WARNING: Setting tty modes failed: Invalid argument
405,kernel: aa:432477 ac:3599 id:379 il:0 ic:0 fr:1275
406,kernel: <*> <*> <*> 4*32kB 1*64kB 0*128kB 3*256kB 1*512kB 3*1024kB 0*2048kB 0*4096kB = <*>
407,kernel: aa:432759 ac:3704 id:122 il:0 ic:0 fr:1244
408,sshd[4260]: <*> <*> <*> closed by remote <*>
409,sshd[8853]: <*> <*> <*> closed by remote <*>
410,<*> (#7#) <*> EDIT (#7#)
411,<*> (#7#) <*> (#7#)
412,<*> (#7#) RELOAD (cron/#7#)
413,sshd[6275]: <*> <*> <*> closed by remote <*>
414,sshd[11232]: <*> <*> <*> closed by remote <*>
415,"kernel: audit_intercept: error 38, killing task"
416,sshd[25097]: <*> <*> <*> closed by remote <*>
417,sshd[13157]: <*> <*> <*> closed by remote <*>
418,sshd[26881]: <*> <*> <*> closed by remote <*>
419,sshd[14933]: <*> <*> <*> closed by remote <*>
420,kernel: nfs_statfs: statfs error = <*>
421,maui: ERROR: unexpected parameter[335] 'WCVIOLATIONACTION' detected
422,maui: INFO: starting Maui version <*> ##################
423,maui: <*>
424,maui: maui <*> <*>
425,maui: starting <*> version Maui (PID: <*> on <*> Jan <*> <*>
426,"pbs_server: Connection refused (111) in contact_sched, Could not contact Scheduler - port 15004"
427,maui: WARNING: cannot bind to port <*> errno: 98 (Address already in use)
428,maui: ERROR: cannot open user interface socket on port 42559
429,"gconfd <*> starting (version 2.2.1), pid <*> user <*>"
430,gconfd <*> Resolved address <*> to a <*> config source at position <*>
431,gconfd (#1#-19773): Failed to send buffer
432,gconfd <*> Exiting
433,"gconfd <*> GConf server is not in use, shutting down."
434,"kernel: nfs_notify_change: revalidate failed, error=-512"
435,<*> authentication failure; <*> <*> euid=0 tty= <*> rhost=
436,sshd[30717]: <*> <*> <*> closed by remote <*>
437,sshd[13031]: <*> <*> <*> closed by remote <*>
438,<*> root login denied for user 'root'.
439,sshd[27532]: <*> <*> <*> closed by remote <*>
440,sshd[32414]: <*> <*> <*> closed by remote <*>
441,<*> <*> authentication failed. Login to account <*> not allowed or account non-existent.
442,<*> Remote host disconnected: Authentication cancelled by user.
443,<*> authentication cancelled by user: 'Authentication cancelled by user.'
444,<*> WARNING: DNS lookup failed for <*>
445,<*> WARNING: Could not chdir to home directory <*> No such file or directory
446,kernel: scsi(0): <*> <*>
447,kernel: scsi(0): LIP reset occurred.
448,kernel: scsi(0): Port database changed.
449,"kernel: scsi(0): Topology - (Loop), Host Loop address 0x0"
450,kernel: scsi(0): Waiting for LIP to complete...
451,sshd[4321]: <*> <*> <*> closed by remote <*>
452,sshd[10946]: <*> <*> <*> closed by remote <*>
453,<*> authentication failure; <*> uid=0 euid=0 <*> ruser= <*> user=root
454,kernel: IPVS: incoming ICMP: failed checksum from <*>
455,<*> Remote host disconnected: Disconnect requested by Windows SSH Client.
456,<*> disconnected by application in remote: 'Disconnect requested by Windows SSH Client.'
457,"<*> <*> from=<#173#@#11#>, <*> nrcpt=1 (queue active)"
458,<*> <*> uid=0 from=<adm>
459,xinetd[2137]: removing <*>
460,kernel: GM: Memory available for registration: 252660 pages (986 MBytes)
461,kernel: GM: Module not compiled from a real kernel build source tree
462,kernel: GM: This build might not be supported.
463,kernel: GM: Version 2.1.6_Linux_rc20041203091926PST build 2.1.6_Linux_rc20041203091926PST #2#@mn1:<*> Sat Dec 4 13:55:10 MST 2004
464,kernel: GM: activate_page (0xffffffff8014f4b0) used: good
465,<*> invoke ifup <*>
466,kernel: GM: 1 Myrinet board(s) found and initialized
467,kernel: GM: Board 0 <*> <*> <*> <*>
468,kernel: GM: Board 0 page hash cache has 65536 bins.
469,kernel: GM: MCP for unit 0: L2X 4K
470,<*> NET unregister event not supported
471,sshd[3838]: <*> <*> <*> closed by remote <*>
472,sshd[5781]: <*> <*> <*> closed by remote <*>
473,<*> Idle timeout exceeded.
474,<*> Remote host disconnected: No further authentication methods available.
475,<*> no more authentication methods on remote: 'No further authentication methods available.'
476,sshd[7012]: <*> <*> <*> closed by remote <*>
477,sshd[7452]: <*> <*> <*> closed by remote <*>
478,sshd[26704]: <*> <*> <*> closed by remote <*>
479,sshd[9696]: <*> <*> <*> closed by remote <*>
480,sshd[12782]: <*> <*> <*> closed by remote <*>
481,sshd[28345]: <*> <*> <*> closed by remote <*>
482,snmpd: [smux_accept] accepted fd 12 from <*>
483,sshd[14741]: <*> <*> <*> closed by remote <*>
484,xinetd[14743]: warning: can't get client address: Connection reset by peer
485,xinetd[2332]: START: auth pid=14743 from=<*>
486,sudo: #179# : <*> ; PWD=/home/#179# ; USER=root ; COMMAND=/usr/bin/up2date --nox -i <*>
487,userhelper: pam_timestamp: updated timestamp file <*>
488,kernel: ISO 9660 Extensions: Microsoft Joliet Level 3
489,kernel: ISO 9660 Extensions: RRIP_1991A
490,"<*> B7964A65D1: <*> <*> relay=local, delay=0, status=bounced (unknown user: <*>"
491,postfix/nqmgr[7447]: <*> <*> <*> nrcpt=1 (queue active)
492,sudo: #179# : TTY=pts<*> <*>
493,sudo: <*> : TTY=pts<*>
494,gconfd (#116#-7886): Unable to open saved state file '<*> No such file or directory
495,lstc_server: LSTC_SERVER: Version 110
496,sshd[5491]: <*> <*> <*> closed by remote <*>
497,dhcpd: DHCPREQUEST for <*> (<*>) from <*> via <*> <*> <*> <*>
498,sshd[5709]: <*> <*> <*> closed by remote <*>
499,sshd[20999]: <*> <*> <*> closed by remote <*>
